ticker,pos_day_streak,xgb_correct_streak,ss_correct_streak,pos_days_10d,win_rate_10d,total_settled
ADANIPOWER.NS,0,1,2,1,50.0,2
AJANTPHARM.NS,0,2,1,0,100.0,2
ALKEM.NS,0,1,2,1,50.0,2
AMBER.NS,0,1,1,1,50.0,2
ANGELONE.NS,0,2,0,0,100.0,2
APLAPOLLO.NS,0,0,1,1,0.0,2
ADANIENT.NS,0,1,1,1,50.0,2
ADANIENSOL.NS,0,0,0,1,0.0,2
ACC.NS,0,2,0,0,100.0,2
AARTIIND.NS,0,2,1,0,100.0,2
EASEMYTRIP.NS,0,1,1,0,100.0,1
EICHERMOT.NS,0,1,1,1,50.0,2
DMART.NS,0,0,1,1,0.0,2
DLF.NS,0,0,1,1,0.0,2
DELTACORP.NS,0,2,0,0,100.0,2
DATAPATTNS.NS,0,2,0,0,100.0,2
CIPLA.NS,0,0,1,0,0.0,1
COCHINSHIP.NS,0,2,2,0,100.0,2
BRITANNIA.NS,0,0,2,0,50.0,2
BSE.NS,0,1,1,1,50.0,2
BPCL.NS,0,1,1,0,100.0,1
BLS.NS,0,1,1,1,50.0,2
HAVELLS.NS,0,0,1,0,50.0,2
HAL.NS,0,1,1,1,50.0,2
GRSE.NS,0,1,2,1,50.0,2
GRANULES.NS,0,0,1,1,0.0,2
GOLDBEES.NS,0,2,2,0,100.0,2
GODREJPROP.NS,0,1,2,1,50.0,2
HCLTECH.NS,0,0,2,0,50.0,2
HEROMOTOCO.NS,0,2,0,0,100.0,2
HINDUNILVR.NS,0,0,2,0,50.0,2
HINDCOPPER.NS,0,1,1,0,100.0,1
HINDALCO.NS,0,2,2,0,100.0,2
HUDCO.NS,0,2,2,0,100.0,2
IEX.NS,0,2,2,0,100.0,2
INDIGO.NS,0,2,2,0,100.0,2
INDUSINDBK.NS,0,2,2,0,100.0,2
HDFCLIFE.NS,0,2,1,0,100.0,2
INFY.NS,0,2,2,0,100.0,2
IOB.NS,0,2,2,0,100.0,2
IOC.NS,0,2,2,0,100.0,2
IRCTC.NS,0,1,1,0,100.0,1
IRFC.NS,0,0,2,0,50.0,2
ITC.NS,0,0,2,0,50.0,2
EMAMILTD.NS,0,1,1,0,100.0,1
DRREDDY.NS,0,2,2,0,100.0,2
ETERNAL.NS,0,1,0,1,50.0,2
GODREJCP.NS,0,1,1,1,50.0,2
COFORGE.NS,0,1,0,1,50.0,2
COLPAL.NS,0,0,2,0,50.0,2
CUMMINSIND.NS,0,2,2,0,100.0,2
DABUR.NS,0,0,2,0,50.0,2
CHOLAFIN.NS,0,1,1,0,100.0,1
BLUESTARCO.NS,0,1,0,1,50.0,2
LTM.NS,0,1,1,1,50.0,2
LT.NS,0,2,1,0,100.0,2
LICI.NS,0,2,2,0,100.0,2
LAURUSLABS.NS,0,1,1,0,100.0,1
KOTAKBANK.NS,0,1,1,1,50.0,2
KAYNES.NS,0,2,1,0,100.0,2
JYOTHYLAB.NS,0,2,2,0,100.0,2
JSWSTEEL.NS,0,0,0,0,50.0,2
JPPOWER.NS,0,2,0,0,100.0,2
JIOFIN.NS,0,2,2,0,100.0,2
MMTC.NS,0,2,0,0,100.0,2
MAZDOCK.NS,0,2,2,0,100.0,2
MARICO.NS,0,0,2,1,0.0,2
MARUTI.NS,0,0,2,0,50.0,2
MUTHOOTFIN.NS,0,2,1,0,100.0,2
LUPIN.NS,0,1,1,0,100.0,1
NBCC.NS,0,2,2,0,100.0,2
NAUKRI.NS,0,0,1,1,0.0,2
NATCOPHARM.NS,0,0,2,0,50.0,2
NAM-INDIA.NS,0,2,2,0,100.0,2
MPHASIS.NS,0,1,1,0,100.0,1
NHPC.NS,0,1,1,1,50.0,2
NTPC.NS,0,0,1,0,50.0,2
NESTLEIND.NS,0,0,1,0,50.0,2
PAGEIND.NS,0,0,0,1,0.0,2
OBEROIRLTY.NS,0,1,1,1,50.0,2
PERSISTENT.NS,0,0,2,1,0.0,2
PNB.NS,0,2,2,0,100.0,2
POWERGRID.NS,0,2,2,0,100.0,2
PRESTIGE.NS,0,0,1,0,0.0,1
MANKIND.NS,0,1,1,1,50.0,2
M&M.NS,0,0,2,0,50.0,2
RELIANCE.NS,0,0,2,0,50.0,2
RADICO.NS,0,0,2,0,50.0,2
SBIN.NS,0,2,2,0,100.0,2
RVNL.NS,0,0,1,0,0.0,1
SHREECEM.NS,0,2,0,0,100.0,2
SIEMENS.NS,0,0,0,1,0.0,2
SJVN.NS,0,2,2,0,100.0,2
SAIL.NS,0,2,2,0,100.0,2
SUNTV.NS,0,2,1,0,100.0,2
SUZLON.NS,0,2,2,0,100.0,2
TATACONSUM.NS,0,0,2,0,50.0,2
TATAELXSI.NS,0,0,0,0,50.0,2
TATAPOWER.NS,0,0,2,0,50.0,2
TATASTEEL.NS,0,2,0,0,100.0,2
TCS.NS,0,2,2,0,100.0,2
SOLARINDS.NS,0,1,1,1,50.0,2
TECHM.NS,0,1,0,0,100.0,1
TIINDIA.NS,0,1,1,1,50.0,2
TMCV.NS,0,2,2,0,100.0,2
TITAN.NS,0,0,1,1,0.0,2
TMPV.NS,0,1,1,1,50.0,2
TORNTPOWER.NS,0,2,2,0,100.0,2
TRENT.NS,0,0,1,0,0.0,1
UBL.NS,0,2,2,0,100.0,2
ULTRACEMCO.NS,0,2,2,0,100.0,2
UPL.NS,0,1,1,0,100.0,1
VBL.NS,0,0,1,0,0.0,1
VEDL.NS,0,2,2,0,100.0,2
VOLTAS.NS,0,0,1,1,0.0,2
WIPRO.NS,0,0,2,0,50.0,2
YESBANK.NS,0,2,2,0,100.0,2
ZYDUSLIFE.NS,0,1,1,1,50.0,2
